Frame,FPS
533,372.05
534,380.31
535,364.96
536,333.89
537,342.06
538,367.90
539,365.02
540,371.76
541,334.09
542,349.56
543,366.77
544,346.20
545,316.03
546,373.02
547,363.24
548,375.52
549,324.96
550,412.37
551,324.83
552,431.98
553,343.67
554,431.00
555,415.25
556,421.23
557,426.27
558,433.39
559,363.19
560,348.20
561,368.87
562,257.29
563,321.13
564,373.36
565,328.08
566,318.75
567,365.93
568,361.18
569,373.12
570,344.89
571,321.57
572,348.57
573,341.53
574,312.63
575,341.38
576,304.11
577,367.66
578,373.73
579,323.57
580,340.31
581,350.21
582,319.87
583,358.72
584,353.63
585,362.65
586,358.40
587,312.87
588,319.94
589,347.94
590,333.29
591,310.11
592,365.24
593,336.03
594,340.15
595,368.12
596,369.62
597,343.01
598,358.01
599,323.01
600,311.71
601,341.70
602,364.02
603,360.57
604,314.69
605,320.17
606,331.66
607,322.74
608,303.62
609,302.95
610,338.89
611,306.88
612,358.08
613,328.00
614,332.37
615,368.77
616,335.06
617,372.14
618,370.84
619,335.83
620,316.24
621,332.34
622,378.64
623,398.52
624,342.59
625,425.19
626,411.79
627,415.77
628,373.73
629,432.69
630,424.92
631,432.84
632,441.87
633,446.49
634,431.15
635,433.58
636,426.62
637,343.19
638,425.53
639,393.19
640,383.82
641,441.46
642,455.95
643,329.39
644,414.32
645,409.03
646,371.95
647,436.99
648,349.53
649,389.89
650,432.56
651,338.95
652,436.85
653,392.40
654,430.03
655,380.72
656,416.75
657,426.29
658,376.97
659,388.33
660,376.51
661,412.80
662,421.62
663,421.89
664,332.21
665,364.30
666,426.86
667,365.83
668,402.56
669,388.03
670,350.63
671,438.56
672,453.60
673,357.62
674,330.80
675,359.21
676,337.27
677,421.64
678,343.01
679,268.98
680,367.16
681,374.01
682,364.36
683,381.39
684,417.97
685,337.44
686,352.65
687,272.47
688,54.20
689,228.97
690,320.64
691,331.50
692,286.99
693,317.85
694,309.93
695,351.86
696,352.71
697,356.25
698,353.23
699,313.29
700,350.63
701,354.70
702,333.78
703,348.52
704,356.39
705,359.09
706,419.48
707,358.94
708,352.80
709,350.79
710,333.87
711,339.13
712,412.10
713,355.86
714,343.75
715,341.30
716,309.10
717,345.54
718,322.20
719,315.40
720,285.69
721,279.17
722,306.36
723,355.00
724,329.53
725,342.72
726,303.61
727,253.56
728,309.18
729,348.59
730,364.09
731,326.70
732,295.55
733,231.01
734,340.67
735,319.81
736,342.88
737,366.02
738,354.40
739,348.26
740,355.72
741,343.64
742,345.89
743,343.84
744,344.01
745,348.26
746,343.74
747,346.10
748,343.02
749,319.40
750,352.63
751,339.80
752,308.72
753,340.52
754,320.33
755,310.22
756,329.75
757,327.56
758,349.02
759,357.95
760,315.26
761,354.13
762,346.10
763,322.35
764,330.53
765,359.70
766,345.43
767,302.43
768,190.02
769,187.43
770,202.47
771,217.94
772,183.21
773,234.93
774,223.57
775,259.38
776,218.04
777,186.73
778,188.74
779,216.78
780,212.39
781,207.62
782,207.10
783,250.33
784,246.46
785,214.62
786,291.56
787,316.41
788,337.58
789,340.36
790,357.95
791,353.07
792,351.21
793,350.19
794,329.34
795,302.48
796,360.20
797,368.47
798,317.84
799,313.93
800,334.11
801,359.38
802,324.38
803,339.06
804,365.11
805,283.02
806,331.16
807,350.13
808,338.88
809,348.08
810,301.10
811,329.10
812,305.96
813,333.19
814,308.60
815,336.77
816,357.88
817,353.79
818,338.63
819,230.61
820,53.08
821,260.07
822,163.61
823,259.46
824,264.65
825,280.11
826,282.81
827,259.84
828,296.51
829,265.34
830,266.42
831,264.01
832,225.44
833,265.15
834,291.47
835,276.78
836,292.23
837,261.94
838,284.47
839,286.12
840,253.88
841,288.73
842,236.45
843,233.53
844,298.90
845,295.16
846,302.95
847,302.97
848,281.60
849,291.43
850,287.50
851,299.12
852,275.00
853,251.11
854,285.59
855,276.12
856,310.83
857,263.78
858,296.35
859,280.71
860,305.14
861,312.67
862,284.30
863,310.42
864,307.33
865,274.79
866,276.92
867,287.97
868,263.76
869,306.08
870,287.45
871,296.94
872,307.26
873,226.48
874,290.76
875,294.30
876,305.38
877,302.93
878,279.20
879,300.68
880,251.53
881,291.49
882,278.79
883,273.52
884,247.46
885,293.86
886,302.03
