Frame,FPS
533,403.19
534,402.25
535,429.70
536,412.35
537,412.51
538,436.09
539,428.95
540,418.94
541,416.82
542,431.91
543,404.83
544,416.08
545,425.49
546,433.46
547,429.79
548,433.58
549,367.27
550,428.78
551,444.44
552,445.18
553,421.92
554,416.77
555,453.00
556,425.06
557,347.32
558,406.59
559,406.77
560,416.62
561,416.47
562,435.98
563,426.80
564,425.28
565,431.41
566,433.90
567,410.31
568,430.64
569,429.26
570,420.64
571,418.48
572,417.90
573,390.11
574,366.27
575,421.12
576,429.31
577,419.18
578,427.37
579,423.89
580,404.07
581,406.72
582,430.13
583,412.85
584,401.91
585,418.01
586,402.20
587,377.70
588,406.64
589,352.72
590,419.39
591,435.01
592,424.56
593,372.56
594,151.15
595,297.39
596,318.71
597,390.55
598,423.73
599,421.69
600,419.89
601,406.32
602,402.46
603,359.54
604,406.09
605,386.20
606,438.25
607,436.21
608,424.54
609,396.42
610,420.35
611,422.73
612,431.69
613,433.41
614,436.32
615,392.85
616,421.98
617,442.48
618,423.48
619,415.04
620,413.10
621,433.35
622,135.51
623,235.75
624,284.16
625,307.25
626,338.05
627,323.40
628,296.05
629,228.42
630,264.54
631,300.00
632,273.30
633,280.38
634,270.37
635,298.81
636,281.04
637,300.17
638,310.50
639,295.52
640,311.99
641,312.04
642,290.35
643,290.31
644,284.37
645,406.83
646,428.95
647,431.93
648,408.51
649,417.89
650,424.02
651,387.30
652,257.71
653,389.94
654,420.19
655,409.97
656,414.77
657,390.72
658,431.17
659,434.92
660,421.04
661,427.72
662,428.89
663,412.29
664,424.18
665,412.30
666,415.58
667,357.69
668,419.76
669,435.29
670,426.95
671,416.75
672,410.19
673,425.35
674,437.79
675,422.71
676,442.28
677,443.81
678,415.42
679,441.97
680,405.53
681,412.30
682,380.24
683,421.57
684,406.93
685,432.34
686,420.72
687,415.68
688,377.10
689,432.06
690,414.78
691,434.16
692,429.33
693,405.06
694,431.16
695,438.29
696,436.28
697,436.49
698,417.71
699,443.87
700,431.24
701,448.09
702,428.58
703,442.07
704,438.60
705,404.68
706,422.80
707,451.92
708,424.63
709,436.99
710,440.45
711,436.93
712,446.73
713,416.32
714,428.74
715,434.06
716,398.69
717,443.56
718,414.23
719,414.87
720,418.55
721,424.83
722,444.05
723,432.55
724,436.32
725,429.85
726,402.74
727,430.07
728,419.50
729,430.27
730,429.39
731,426.26
732,406.08
733,372.70
734,437.75
735,406.83
736,428.98
737,420.17
738,419.30
739,410.74
740,408.45
741,437.85
742,430.31
743,422.19
744,397.47
745,410.74
746,424.34
747,412.68
748,428.19
749,424.45
750,420.95
751,434.97
752,405.88
753,329.21
754,363.53
755,363.06
756,372.86
757,374.78
758,361.69
759,431.72
760,440.33
761,424.45
762,430.05
763,434.37
764,423.24
765,404.66
766,395.13
767,434.58
768,415.73
769,435.35
770,429.19
771,370.40
772,425.44
773,423.28
774,377.16
775,438.25
776,370.52
777,413.98
778,389.35
779,424.29
780,356.16
781,381.59
782,416.13
783,416.96
784,362.92
785,416.81
786,375.64
787,378.65
788,386.92
789,372.29
790,405.73
791,390.64
792,357.60
793,371.33
794,383.46
795,371.97
796,344.97
797,359.26
798,354.75
799,375.00
800,363.15
801,357.82
802,355.76
803,331.74
804,326.46
805,300.07
806,341.82
807,301.01
808,317.85
809,352.95
810,333.88
811,352.37
812,355.96
813,316.78
814,298.86
815,345.33
816,325.48
817,338.66
818,305.14
819,272.45
820,366.58
821,367.92
822,347.96
823,204.10
824,349.24
825,245.62
826,314.19
827,338.28
828,371.36
829,372.36
830,370.30
831,376.86
832,342.96
833,371.31
834,333.18
835,323.22
836,322.92
837,314.64
838,302.06
839,377.92
840,375.25
841,362.24
842,357.09
843,351.65
844,341.87
845,267.93
846,253.45
847,357.50
848,374.87
849,340.31
850,352.40
851,342.94
852,358.63
853,360.45
854,369.58
855,374.46
856,364.46
857,360.74
858,309.35
859,354.21
860,360.80
861,356.91
862,363.39
863,370.32
864,367.90
865,342.63
866,364.92
867,378.63
868,382.06
869,267.19
870,362.28
871,367.04
872,344.77
873,305.74
874,329.08
875,283.75
876,261.60
877,362.90
878,382.81
879,336.39
880,321.78
881,346.72
882,266.08
883,329.61
884,263.35
885,180.17
886,303.90
887,319.91
888,259.80
889,349.43
890,369.86
891,327.10
892,339.85
893,404.70
894,373.25
895,325.80
896,415.46
897,380.11
898,361.27
899,315.20
900,372.77
901,419.71
902,377.97
903,369.09
904,367.17
905,355.13
906,361.62
907,374.43
908,342.56
909,350.62
910,368.69
911,320.37
912,379.46
913,308.84
914,234.37
915,287.85
916,269.27
917,236.95
918,335.12
919,376.85
920,340.41
921,427.64
922,423.62
923,428.03
924,457.65
925,442.64
